 # This is set of AGGF computed using module aggf from grat software
 # Normalization according to Merriam92
 # Marcin Rajner
 # For detail see www.geo.republika.pl
              #psi[deg]       GN[microGal/hPa]  GN/dT[microGal/hPa/K]  GN/dh[microGal/hPa/m]  GN/dz[microGal/hPa/m]
       0.000010   -4916.120540      17.066235      45.509036     198.331860
       0.000050   -4899.029503      16.960303       0.747926       7.956012
       0.000100   -4882.191395      16.852598       0.471974       1.988894
       0.000500   -4775.491793      16.184213       0.462541       0.079187
       0.001000   -4667.782778      15.526576       0.453800       0.019507
       0.002500   -4409.110652      13.997858       0.433140       0.002797
       0.005000   -4075.758365      12.116698       0.405946       0.000410
       0.007500   -3806.222086      10.663616       0.383541      -0.000032
       0.010000   -3576.583542       9.473149       0.364161      -0.000187
       0.015000   -3196.523300       7.601638       0.331481      -0.000298
       0.020000   -2888.441898       6.179790       0.304403      -0.000336
       0.025000   -2630.349943       5.059223       0.281277      -0.000354
       0.030000   -2409.555640       4.155570       0.261142      -0.000364
       0.040000   -2049.557816       2.801495       0.227527      -0.000374
       0.050000   -1767.562407       1.856166       0.200399      -0.000378
       0.060000   -1540.712978       1.179210       0.177965      -0.000381
       0.070000   -1354.711403       0.686604       0.159092      -0.000382
       0.080000   -1199.955255       0.324552       0.143008      -0.000383
       0.090000   -1069.671652       0.057000       0.129164      -0.000384
       0.100000    -958.909305      -0.141027       0.117152      -0.000384
       0.110000    -863.948680      -0.287261       0.106660      -0.000384
       0.120000    -781.935156      -0.394540       0.097444      -0.000385
       0.130000    -710.639733      -0.472301       0.089308      -0.000385
       0.140000    -648.296841      -0.527569       0.082094      -0.000385
       0.150000    -593.490951      -0.565628       0.075672      -0.000385
       0.160000    -545.075254      -0.590489       0.069934      -0.000385
       0.175000    -482.428202      -0.609540       0.062415      -0.000385
       0.180000    -463.828509      -0.612169       0.060161      -0.000385
       0.190000    -429.582672      -0.613169       0.055986      -0.000386
       0.200000    -398.838009      -0.609632       0.052209      -0.000386
       0.225000    -334.500406      -0.587611       0.044214      -0.000386
       0.250000    -284.027805      -0.555157       0.037853      -0.000386
       0.275000    -243.774172      -0.518622       0.032721      -0.000386
       0.300000    -211.204466      -0.481444       0.028530      -0.000386
       0.325000    -184.514569      -0.445439       0.025069      -0.000386
       0.350000    -162.394129      -0.411510       0.022182      -0.000386
       0.375000    -143.874134      -0.380047       0.019752      -0.000386
       0.400000    -128.226400      -0.351147       0.017690      -0.000386
       0.425000    -114.895769      -0.324754       0.015926      -0.000386
       0.450000    -103.453439      -0.300727       0.014407      -0.000386
       0.475000     -93.564261      -0.278889       0.013090      -0.000386
       0.500000     -84.963433      -0.259052       0.011942      -0.000386
       0.550000     -70.822749      -0.224639       0.010048      -0.000386
       0.600000     -59.781905      -0.196123       0.008564      -0.000386
       0.650000     -51.006217      -0.172362       0.007381      -0.000386
       0.700000     -43.921927      -0.152434       0.006424      -0.000386
       0.750000     -38.124702      -0.135609       0.005639      -0.000386
       0.800000     -33.323316      -0.121307       0.004988      -0.000386
       0.850000     -29.303920      -0.109069       0.004443      -0.000386
       0.900000     -25.906760      -0.098533       0.003981      -0.000386
       0.950000     -23.010632      -0.089406       0.003587      -0.000386
       1.000000     -20.522298      -0.081457       0.003249      -0.000386
       1.100000     -16.493851      -0.068370       0.002700      -0.000386
       1.250000     -12.122326      -0.053856       0.002103      -0.000386
       1.300000     -10.982634      -0.050017       0.001948      -0.000386
       1.400000      -9.051389      -0.043459       0.001684      -0.000386
       1.500000      -7.486637      -0.038096       0.001470      -0.000386
       1.600000      -6.201472      -0.033658       0.001294      -0.000386
       1.750000      -4.665558      -0.028313       0.001084      -0.000386
       1.800000      -4.235830      -0.026810       0.001025      -0.000386
       1.900000      -3.474775      -0.024138       0.000921      -0.000386
       2.000000      -2.823839      -0.021845       0.000832      -0.000386
       2.500000      -0.646915      -0.014116       0.000534      -0.000386
       2.750000       0.027218      -0.011704       0.000442      -0.000386
       3.000000       0.540747      -0.009860       0.000371      -0.000386
       4.000000       1.725427      -0.005588       0.000209      -0.000386
       5.000000       2.275227      -0.003596       0.000134      -0.000386
       6.000000       2.574462      -0.002511       0.000093      -0.000386
       7.000000       2.755266      -0.001855       0.000068      -0.000386
       8.000000       2.872931      -0.001429       0.000052      -0.000386
       9.000000       2.953900      -0.001136       0.000041      -0.000386
      10.000000       3.012110      -0.000927       0.000033      -0.000387
      15.000000       3.153324      -0.000431       0.000014      -0.000387
      20.000000       3.208212      -0.000257       0.000008      -0.000388
      25.000000       3.239631      -0.000177       0.000005      -0.000389
      30.000000       3.263113      -0.000133       0.000003      -0.000391
      40.000000       3.304568      -0.000090       0.000001      -0.000394
      50.000000       3.348618      -0.000071       0.000001      -0.000399
      60.000000       3.399573      -0.000060       0.000000      -0.000404
      70.000000       3.459310      -0.000054       0.000000      -0.000411
      80.000000       3.529065      -0.000051      -0.000000      -0.000419
      90.000000       3.609936      -0.000049      -0.000000      -0.000429
     120.000000       3.931505      -0.000048      -0.000001      -0.000467
     150.000000       4.406775      -0.000051      -0.000001      -0.000523
     180.000000       5.108151      -0.000058      -0.000001      -0.000606
